tmdb_id,title,release_year,overview,genres,keywords,is_period_piece,signals_used,setting_start_year,setting_end_year,setting_decade,year_gap,vote_count,revenue_usd,in_top_k_by_revenue,country
3784,Frankie and Johnny,1991,"When Johnny is released from prison following a forgery charge, he quickly lands a job as a short-order cook at a New York diner. Following a brief fling with waitress Cora, he develops an attraction for Cora's friend and fellow waitress Frankie. While Frankie resists Johnny's charms initially, she eventually relents when her best friend, Tim, persuades her to give Johnny a chance.","['Drama', 'Romance', 'Comedy']","['new york city', 'waitress', 'ex-detainee', 'cooking', 'restaurant', 'diner', 'greek', 'love', 'city life']",False,[],,,,,611,22773535,True,['US']
2767,The Lovers on the Bridge,1991,"Set against Paris' oldest bridge, the Pont Neuf, while it was closed for repairs, this film is a love story between two young vagrants: Alex, a would be circus performer addicted to alcohol and sedatives and Michele, a painter driven to a life on the streets because of a failed relationship and an affliction which is slowly turning her blind.","['Drama', 'Romance']","['prison', 'loss of eyesight', 'homeless person', 'paris, france', 'subway', 'fireworks', 'artist', 'bridge', 'tramp', 'seine', 'self-inflicted injury', 'fire-eater', 'romance', 'snow', 'unlikely romance', 'cheerful']",False,[],,,,,356,0,True,['FR']
10975,Operation Condor,1991,"Hired by a Spanish baron, Hong Kong treasure hunter Jackie, a.k.a. ""Asian Hawk"" and his entourage seek WWII Nazi gold buried in the Sahara Desert.","['Action', 'Adventure', 'Crime', 'Thriller']","['gold', 'nazi', 'wilderness', 'melancholy', 'treasure hunt', 'desert']",False,[],1939.0,1945.0,1930s,52.0,602,24100000,True,['CN' 'HK']
15080,Only Yesterday,1991,"In lyrical switches between the present and the past, Taeko contemplates the arc of her life, and wonders if she has been true to the dreams of her childhood self.","['Animation', 'Drama', 'Romance']","['countryside', 'country life', 'marriage', 'folk music', 'flashback', 'school', 'based on manga', 'anime', 'reflective']",False,[],,,,,1182,473110,True,['JP']
11498,Dead Again,1991,"In 1949, composer Roman Strauss is executed for the murder of his wife. In 1990s Los Angeles, a detective comes across a mute amnesiac woman who is somehow linked to the Strauss murder.","['Mystery', 'Drama', 'Crime', 'Thriller']","['amnesia', 'fortune teller', 'nightmare', 'san francisco, california', 'hypnosis', 'twist', 'lovers', 'romance', 'private investigator', 'psychological thriller', 'therapy', 'dual role', 'orchestra conductor', 'gumshoe']",True,"['explicit_past_year', 'decade_phrase']",1949.0,1949.0,1940s,42.0,396,38016380,True,['US']
25330,Dutch,1991,"To get to know his girlfriend's son, a man volunteers to pick him up from a prep school... only to learn that her son's not the nicest kid.","['Comedy', 'Drama']","['boarding school', 'holiday', 'bus ride', 'thanksgiving', 'prank', 'homeless shelter', 'road movie']",False,[],,,,,215,4603929,True,['US']
19200,Shadows and Fog,1991,"With a serial strangler on the loose, a bookkeeper wanders around town searching for the vigilante group intent on catching the killer.","['Comedy', 'Mystery', 'Crime']","['brothel', 'vigilante', 'serial killer', 'strangler', 'traveling circus', 'whorehouse', 'magician']",False,[],,,,,381,2735731,True,['US']
11521,Little Man Tate,1991,"Dede is a sole parent trying to bring up her son Fred. When it is discovered that Fred is a genius, she is determined to ensure that Fred has all the opportunities that he needs, and that he is not taken advantage of by people who forget that his extremely powerful intellect is harboured in the body and emotions of a child.","['Drama', 'Family']","['jealousy', 'waitress', 'single parent', 'intelligence', 'intellectually gifted', 'intelligence test', 'iq', 'single', 'scientist', 'single father', 'woman director']",False,[],,,,,322,25010896,True,['US']
37137,The Naked Gun 2½: The Smell of Fear,1991,"Bumbling lieutenant Frank Drebin is out to foil the big boys in the energy industry, who intend to suppress technology that will put them out of business.","['Comedy', 'Crime']","['usa president', 'washington dc, usa', 'the white house', 'police', 'parody', 'slapstick comedy', 'spoof', 'los angeles, california', 'good versus evil', 'based on tv series']",False,[],,,,,2539,192030411,True,['US']
274,The Silence of the Lambs,1991,"Clarice Starling is a top student at the FBI's training academy.  Jack Crawford wants Clarice to interview Dr. Hannibal Lecter, a brilliant psychiatrist who is also a violent psychopath, serving life behind bars for various acts of murder and cannibalism.  Crawford believes that Lecter may have insight into a case and that Starling, as an attractive young woman, may be just the bait to draw him out.","['Crime', 'Thriller', 'Drama']","['based on novel or book', 'kidnapping', 'psychopath', 'fbi', 'scientific study', 'murder', 'serial killer', 'psychological thriller', 'brutality', 'cannibal', 'psychiatrist', 'moth', 'virginia', 'neo-noir', 'twisted', 'skinning', 'past history', 'intense', 'psychological profiling']",False,[],,,,,17227,272742922,True,['US']
7442,Sleeping with the Enemy,1991,"A young woman fakes her own death in an attempt to escape her nightmarish marriage, but discovers it is impossible to elude her controlling husband.","['Drama', 'Thriller']","['drowning', 'escape', 'iowa', 'violent husband', 'psychological abuse', 'domestic abuse', 'domestic violence', 'older man younger woman relationship', 'beach house', 'nursing home', 'cape cod', 'fake death', 'physical abuse', 'jealous husband', 'blind mother', 'rich husband', 'drama teacher', 'suspense', 'controlling husband']",False,[],,,,,1154,175000000,True,['US']
